Molecule,Isotopologue,Dataset,Cooling Function Status
NO,14N-16O,XABC,✅ Done
NS,14N-32S,SNaSH,✅ Done
NS,14N-33S,SNaSH,✅ Done
NS,14N-34S,SNaSH,✅ Done
NS,14N-36S,SNaSH,✅ Done
NS,15N-32S,SNaSH,✅ Done
NaCl,23Na-35Cl,Barton,✅ Done
NaCl,23Na-37Cl,Barton,✅ Done
NaF,23Na-19F,MoLLIST,✅ Done
NaH,23Na-1H,Rivlin,✅ Done
NaH,23Na-2H,Rivlin,✅ Done
NaO,23Na-16O,NaOUCMe,✅ Done
NaOH,23Na-16O-1H,OYT5,✅ Done
OCS,16O-12C-32S,OYT8,✅ Done
OH,16O-1H,MYTHOS,✅ Done
OH_p,16O-1H_p,MoLLIST,✅ Done
PF3,31P-19F3,MCYTY,❌ Not Done
PH,31P-1H,LaTY,✅ Done
PH3,31P-1H3,SAlTY,✅ Done
PN,31P-14N,PaiN,✅ Done
PN,31P-15N,PaiN,✅ Done
PO,31P-16O,POPS,✅ Done
PS,31P-32S,POPS,✅ Done
SH,32S-1H,GYT,✅ Done
SH,32S-2H,GYT,✅ Done
SH,33S-1H,GYT,✅ Done
SH,34S-1H,GYT,✅ Done
SH,36S-1H,GYT,✅ Done
SO,32S-16O,SOLIS,✅ Done
SO2,32S-16O2,ExoAmes,✅ Done
SO3,32S-16O3,UYT2,✅ Done
ScH,45Sc-1H,LYT,✅ Done
ScO,45Sc-16O,LPB,✅ Done
SiH,28Si-1H,SiGHTLY,✅ Done
SiH,28Si-2H,SiGHTLY,✅ Done
SiH,29Si-1H,SiGHTLY,✅ Done
SiH,30Si-1H,SiGHTLY,✅ Done
SiH2,28Si-1H2,CATS,✅ Done
SiH4,28Si-1H4,OY2T,❌ Not Done
SiN,28Si-14N,SiNfull,✅ Done
SiN,28Si-15N,SiNfull,✅ Done
SiN,29Si-14N,SiNfull,✅ Done
SiN,30Si-14N,SiNfull,✅ Done
SiO,28Si-16O,SiOUVenIR,✅ Done
SiO2,28Si-16O2,OYT3,✅ Done
SiS,28Si-32S,UCTY,✅ Done
SiS,28Si-33S,UCTY,✅ Done
SiS,28Si-34S,UCTY,✅ Done
SiS,28Si-36S,UCTY,✅ Done
SiS,29Si-32S,UCTY,✅ Done
SiS,29Si-33S,UCTY,✅ Done
SiS,29Si-34S,UCTY,✅ Done
SiS,29Si-36S,UCTY,✅ Done
SiS,30Si-32S,UCTY,✅ Done
SiS,30Si-33S,UCTY,✅ Done
SiS,30Si-34S,UCTY,✅ Done
SiS,30Si-36S,UCTY,✅ Done
TiH,48Ti-1H,MoLLIST,✅ Done
TiO,46Ti-16O,Toto,✅ Done
TiO,47Ti-16O,Toto,✅ Done
TiO,48Ti-16O,Toto,✅ Done
TiO,49Ti-16O,Toto,✅ Done
TiO,50Ti-16O,Toto,✅ Done
VO,51V-16O,HyVO,✅ Done
YO,89Y-16O,BRYTS,✅ Done
YO,89Y-17O,BRYTS,✅ Done
YO,89Y-18O,BRYTS,✅ Done
ZrO,90Zr-16O,ZorrO,✅ Done
ZrO,91Zr-16O,ZorrO,✅ Done
ZrO,92Zr-16O,ZorrO,✅ Done
ZrO,93Zr-16O,ZorrO,✅ Done
ZrO,94Zr-16O,ZorrO,✅ Done
ZrO,96Zr-16O,ZorrO,✅ Done
cis-P2H2,cis-31P2-1H2,OY-Cis,✅ Done
trans-P2H2,trans-31P2-1H-2H,OY-Trans,❌ Not Done
trans-P2H2,trans-31P2-1H2,OY-Trans,❌ Not Done
